query,intent_label
帮我写一封投诉回复邮件态度要专业,WRITE
帮我写一份活动邀请的群发消息,WRITE
帮我把这段话精简到100字以内,WRITE
帮我写一段新功能上线的用户公告,WRITE
帮我写一份转正申请,WRITE
这篇推荐信帮我润色得更有说服力,WRITE
帮我写一段客服话术回复用户咨询,WRITE
帮我把这篇博客的导语改得更吸引人,WRITE
帮我写一份团队周会的总结发言稿,WRITE
帮我写一封婉拒offer的邮件,WRITE
这段产品文案帮我改得更简洁有力,WRITE
帮我写一篇朋友圈晒娃的文案,WRITE
帮我写一份感谢信给帮助过我的导师,WRITE
帮我把这段话的语气改得更幽默一点,WRITE
帮我写一段双十一促销活动文案,WRITE
帮我写一份请客户帮忙写推荐语的邀请文案,WRITE
这篇年终总结帮我改得更有亮点,WRITE
帮我写一段告别演讲稿,WRITE
帮我写一封跟领导请教问题的邮件,WRITE
帮我写一份给团队的新年祝福邮件,WRITE
帮我把这段技术总结的语言改得更生动,WRITE
帮我写一篇产品试用反馈的征集文案,WRITE
帮我写一段课程介绍的宣传语,WRITE
这篇演讲稿帮我精简到5分钟以内能讲完,WRITE
帮我写一份给供应商的合作邀约邮件,WRITE
帮我把这段话改写成适合发朋友圈的风格,WRITE
帮我写一篇公司内部的表彰通知,WRITE
帮我写一段招聘启事突出岗位亮点,WRITE
帮我把这篇文章的语气改得更专业,WRITE
帮我写一份给老师的教师节祝福语,WRITE
帮我写一段产品退货流程的说明文案,WRITE
帮我写一篇给客户的节日问候邮件,WRITE
帮我把这段话改写成更适合公众号发布的风格,WRITE
帮我写一份团队聚餐的邀请通知,WRITE
帮我写一段新人入职培训的开场白,WRITE
帮我把这篇产品说明书改得更简明易懂,WRITE
帮我写一份给投资人的项目进展更新邮件,WRITE
帮我写一段公司搬迁通知,WRITE
帮我把这段会议总结改得条理更清晰,WRITE
帮我写一篇社区活动的招募文案,WRITE
帮我写一段给客户的售后跟进消息,WRITE
帮我把这段产品反馈整理成正式的报告语言,WRITE
帮我写一份给老板的工作汇报邮件,WRITE
帮我写一段员工生日会的祝福致辞,WRITE
帮我把这篇致辞改得更简短有力,WRITE
帮我写一份新产品上市的媒体通稿,WRITE
帮我写一段感恩节给团队的感谢话,WRITE
帮我把这段日常对话改写成正式书面记录,WRITE
帮我写一份活动结束后的致谢邮件,WRITE
这份CSV里各个意图的样本数量帮我统计一下,DATA
帮我算一下这组数据的平均响应延迟,DATA
把这张表的数据按月份汇总成图表,DATA
这两组测试结果的准确率差异有多大,DATA
帮我分析一下这份日志里哪个接口报错最多,DATA
这份日志帮我分析一下哪个接口报错最多,DATA
这是我整理的测试结果帮我算下两组的准确率差异,DATA
把我刚发的这张表按月份汇总成图表,DATA
这段JSON数据里有多少条记录帮我数一下,DATA
我这边有一组延迟数据帮我算下P99,DATA
这份用户反馈表帮我统计一下好评差评的占比,DATA
帮我把这份Excel里的销售数据按地区分组汇总,DATA
这组测试数据帮我画一个折线图看趋势,DATA
这份订单数据帮我算一下平均客单价,DATA
我这有一份调研问卷结果帮我统计一下选项分布,DATA
这段代码的执行时间数据帮我算下标准差,DATA
帮我把这份成绩单按分数段统计人数分布,DATA
这份压测报告帮我提取出QPS和延迟的关键指标,DATA
这两份对比表帮我算下增长率,DATA
我这边导出了一份用户留存数据帮我算一下次日留存率,DATA
这份CSV帮我按列去重统计唯一值数量,DATA
这组日志数据帮我按小时统计请求量分布,DATA
我这有一份成本明细表帮我汇总各项支出占比,DATA
这份数据帮我找出异常值,DATA
这两组A/B测试的转化率数据帮我对比一下,DATA
帮我把这份原始数据清洗一下再统计,DATA
这份表格里的空值帮我统计一下占比,DATA
我这边有这周的考勤数据帮我算下平均出勤率,DATA
这份接口耗时数据帮我画个直方图,DATA
帮我把这份数据按字段排序后导出,DATA
这份SQL慢查询日志帮我统计一下耗时分布,DATA
这是我抓的接口响应数据帮我算下中位数,DATA
我这边有一份用户画像数据帮我做个交叉分析,DATA
这份测试覆盖率报告帮我汇总各模块的覆盖情况,DATA
帮我把这份数据透视一下按渠道统计转化,DATA
这份内存快照数据帮我分析下哪个对象占用最多,DATA
我这有一份GC日志帮我统计下各代的回收频率,DATA
这份数据帮我算一下同比和环比增长,DATA
这是我整理的Bug统计表帮我按优先级分类汇总,DATA
帮我把这份训练日志的loss数据画成曲线图,DATA
这份接口调用链数据帮我找出耗时最长的环节,DATA
我这边有这个月的报销明细帮我汇总分类统计,DATA
这份用户行为埋点数据帮我统计点击率,DATA
帮我把这两份版本的性能数据做个对比,DATA
这份数据集帮我检查一下有没有重复记录,DATA
我这有一份代码质量扫描报告帮我汇总各项指标,DATA
这份压力测试的并发数据帮我画图展示,DATA
这是我导出的数据库慢日志帮我按表统计,DATA
帮我把这份CSV里的异常数据筛出来,DATA
这份内存使用数据帮我算一下峰值和均值,DATA
我这边有一份接口超时统计帮我按时间段分组,DATA
这份训练数据集帮我统计各类别的样本占比,DATA
帮我把这份原始日志按用户ID聚合统计,DATA
这份服务调用量数据帮我画个柱状图对比各服务,DATA
我这有一份缺陷分布数据帮我按模块统计占比,DATA
这份数据帮我算下相关系数看两个指标有没有关联,DATA
这是我整理的耗时数据帮我算一下P95和P99,DATA
帮我把这份反馈数据按情感倾向分类统计,DATA
这份接口成功率数据帮我画成趋势图,DATA
我这边有一份用户流失数据帮我分析下流失节点,DATA
这份CSV帮我按某一列做分组求和,DATA
这是我整理的两批用户测试数据帮我对比满意度,DATA
帮我把这份接口日志按状态码统计数量,DATA
这份数据帮我算下方差看波动有多大,DATA
我这边有一份每日活跃用户数据帮我画出走势图,DATA
这份内存泄漏排查数据帮我整理成表格,DATA
帮我把这份原始数据按时间排序后输出,DATA
这是我抓的网络请求数据帮我统计各接口调用次数,DATA
这份成绩数据帮我算一下及格率和优秀率,DATA
我这边有一份订单退款数据帮我统计退款原因分布,DATA
AI会不会真的取代程序员,DEBATE
35岁程序员转型还来不来得及,DEBATE
你觉得现在卷大厂值不值得,DEBATE
远程办公和坐班哪个对职业发展更好,DEBATE
该不该裸辞去准备面试,DEBATE
你觉得现在还要不要考研,DEBATE
工作和生活真的能平衡吗,DEBATE
年轻人该不该早点买房,DEBATE
你怎么看现在的内卷文化,DEBATE
跳槽频繁对职业发展到底是好是坏,DEBATE
你觉得996到底值不值得,DEBATE
学历重要还是能力重要,DEBATE
你觉得大公司好还是小公司好,DEBATE
该不该为了高薪牺牲生活质量,DEBATE
你怎么看35岁危机这件事,DEBATE
创业和打工到底哪个更适合普通人,DEBATE
你觉得现在还有必要考各种证书吗,DEBATE
人到中年要不要冒险转行,DEBATE
你怎么看躺平这种生活态度,DEBATE
该不该把所有积蓄都拿去投资,DEBATE
你觉得年轻时候应不应该多吃点苦,DEBATE
团队协作重要还是个人能力重要,DEBATE
你怎么看裸辞这件事,DEBATE
该不该为了留在大城市拼命卷,DEBATE
你觉得加班文化到底合不合理,DEBATE
要不要为了孩子放弃自己的职业发展,DEBATE
你怎么看副业这件事值不值得做,DEBATE
该不该频繁更换行业赛道,DEBATE
你觉得情商重要还是智商重要,DEBATE
要不要为了稳定选择体制内,DEBATE
你怎么看延迟退休这件事,DEBATE
该不该把兴趣变成职业,DEBATE
你觉得现在这个时代还相不相信努力就有回报,DEBATE
要不要为了梦想放弃稳定的工作,DEBATE
你怎么看现在年轻人不愿意结婚生子,DEBATE
该不该为了升职主动加班表现,DEBATE
你觉得人脉重要还是实力重要,DEBATE
你觉得现在还值不值得去大厂卷title,DEBATE
要不要为了高薪去外地工作离开家人,DEBATE
你怎么看现在大家都在追求财务自由这件事,DEBATE
该不该为了职业发展牺牲个人时间,DEBATE
你觉得现在读研值不值得,DEBATE
要不要为了一份更好的工作放弃现在的人际关系,DEBATE
你怎么看现在年轻人热衷于副业兼职,DEBATE
该不该在三十岁之前一定要有自己的事业,DEBATE
你觉得稳定的工作和有挑战性的工作哪个更值得选,DEBATE
要不要为了陪伴家人放弃升职机会,DEBATE
你怎么看现在职场上的内耗现象,DEBATE
该不该过度依赖人脉关系找工作,DEBATE
你觉得性格内向是不是不适合做管理岗,DEBATE
要不要为了短期高薪放弃长期发展,DEBATE
你怎么看现在很多人选择延迟买房买车,DEBATE
该不该为了照顾家庭放弃事业上升期,DEBATE
你觉得专业对口重要还是兴趣驱动更重要,DEBATE
要不要为了职业转型重新读书深造,DEBATE
你怎么看现在年轻人越来越注重工作生活边界感,DEBATE
该不该接受降薪去一个更有前景的行业,DEBATE
帮我设计一个订单状态机引擎的架构,TECH_DESIGN
这个意图识别三级漏斗该怎么落地,TECH_DESIGN
帮我写一个系统迁移到云原生的技术方案,TECH_DESIGN
多Agent协作的路由层该怎么设计,TECH_DESIGN
帮我规划一下从单体到微服务的拆分步骤,TECH_DESIGN
帮我设计一个分布式锁的实现方案,TECH_DESIGN
这个高并发秒杀系统该怎么做架构设计,TECH_DESIGN
帮我设计一个用户权限管理系统的数据模型,TECH_DESIGN
这个跨地域多活架构该怎么规划,TECH_DESIGN
帮我设计一个消息队列的削峰填谷方案,TECH_DESIGN
这个数据一致性问题该用什么架构方案解决,TECH_DESIGN
帮我规划一下这个老系统的重构步骤,TECH_DESIGN
这个缓存雪崩的防护方案该怎么设计,TECH_DESIGN
帮我设计一个支持灰度发布的部署架构,TECH_DESIGN
这个多租户系统的隔离方案该怎么做,TECH_DESIGN
帮我设计一个订单超时自动取消的实现方案,TECH_DESIGN
这个高可用的容灾架构该怎么规划,TECH_DESIGN
帮我设计一个限流降级的整体方案,TECH_DESIGN
这个数据库分库分表的拆分策略该怎么设计,TECH_DESIGN
帮我规划一下这个项目的技术选型方案,TECH_DESIGN
这个实时数据同步的架构该怎么设计,TECH_DESIGN
帮我设计一个统一异常处理的框架方案,TECH_DESIGN
这个微服务间通信的安全方案该怎么做,TECH_DESIGN
帮我规划一下从单体架构演进到服务网格的路径,TECH_DESIGN
这个工作流引擎的状态流转该怎么设计,TECH_DESIGN
帮我设计一个支持插件化扩展的系统架构,TECH_DESIGN
这个海量日志采集的架构该怎么规划,TECH_DESIGN
帮我设计一个幂等性保证的整体方案,TECH_DESIGN
这个支付系统的对账方案该怎么设计,TECH_DESIGN
帮我规划一下这个老接口的兼容性升级方案,TECH_DESIGN
这个分布式事务的架构方案帮我设计一下,TECH_DESIGN
帮我设计一个支持千万级用户的系统架构,TECH_DESIGN
这个数据迁移的整体方案该怎么规划,TECH_DESIGN
帮我设计一个CI/CD流水线的架构方案,TECH_DESIGN
这个推荐系统的整体架构该怎么设计,TECH_DESIGN
帮我规划一下这个项目的灾备方案,TECH_DESIGN
这个API网关的整体设计方案帮我想想,TECH_DESIGN
帮我设计一个监控告警系统的架构,TECH_DESIGN
这个数据仓库的分层架构该怎么设计,TECH_DESIGN
帮我规划一下系统国际化的技术方案,TECH_DESIGN
帮我设计一个订单履约系统的整体架构,TECH_DESIGN
这个用户行为埋点系统该怎么规划,TECH_DESIGN
帮我设计一个支持高并发写入的存储架构,TECH_DESIGN
这个服务降级熔断的方案该怎么设计,TECH_DESIGN
帮我规划一下从同步架构改成异步架构的方案,TECH_DESIGN
这个统一配置中心的架构该怎么设计,TECH_DESIGN
帮我设计一个支持多版本并存的API架构,TECH_DESIGN
这个搜索系统的整体技术方案帮我想想,TECH_DESIGN
帮我规划一下这个系统的性能优化方案,TECH_DESIGN
这个分布式任务调度系统该怎么设计,TECH_DESIGN
帮我设计一个支持快速扩容的弹性架构,TECH_DESIGN
这个风控系统的整体架构该怎么规划,TECH_DESIGN
帮我设计一个统一身份认证的技术方案,TECH_DESIGN
这个数据库读写分离的架构该怎么设计,TECH_DESIGN
帮我规划一下这个老系统的解耦方案,TECH_DESIGN
这个实时计算引擎的架构方案帮我设计一下,TECH_DESIGN
帮我设计一个支持AB测试的系统架构,TECH_DESIGN
帮我把这段中文翻译成英文,TRANSLATE
意图识别这个词用英文怎么说更准确,TRANSLATE
这段英文文档帮我翻译一下,TRANSLATE
把这句话翻成日语,TRANSLATE
translate this paragraph into Chinese please,TRANSLATE
帮我把这份产品说明翻译成韩语,TRANSLATE
这段代码注释帮我翻译成英文,TRANSLATE
帮我把这封邮件翻译成法语,TRANSLATE
这个技术术语的德语怎么说,TRANSLATE
帮我把这段日文歌词大意翻译出来,TRANSLATE
这份合同条款帮我翻译成中文,TRANSLATE
帮我把这句俗语翻译成地道的英文表达,TRANSLATE
这段英文面试问题帮我翻译一下,TRANSLATE
帮我把这份会议纪要翻译成英文发给海外团队,TRANSLATE
这个专业名词在法语里怎么表达,TRANSLATE
帮我把这段西班牙语翻译成中文,TRANSLATE
这份英文简历帮我翻译成中文版本,TRANSLATE
帮我把这句中文谚语翻译成对应的英文表达,TRANSLATE
这段俄语文档大概是什么意思帮我翻译下,TRANSLATE
帮我把这份产品手册翻译成多国语言版本,TRANSLATE
这个英文缩写JVM翻译过来是什么意思,TRANSLATE
帮我把这段中文诗意翻译成英文保留意境,TRANSLATE
这份英文论文摘要帮我翻译一下,TRANSLATE
帮我把这句口语化的中文翻译成正式英语,TRANSLATE
这段意大利语菜单帮我翻译成中文,TRANSLATE
帮我把这份英文API文档翻译成中文,TRANSLATE
这句话用葡萄牙语怎么说,TRANSLATE
帮我把这段中文新闻翻译成英文版,TRANSLATE
这份英文用户协议帮我翻译成中文,TRANSLATE
帮我把这句中文古诗翻译成英文,TRANSLATE
帮我把这段技术博客翻译成中文,TRANSLATE
这句网络流行语用英文怎么表达比较地道,TRANSLATE
帮我把这份英文招聘启事翻译成中文,TRANSLATE
这个法律术语的英文翻译是什么,TRANSLATE
帮我把这段中文产品评价翻译成英文,TRANSLATE
这份英文调研问卷帮我翻译成中文,TRANSLATE
帮我把这句话用泰语怎么表达,TRANSLATE
这段中文操作手册帮我翻译成英文版,TRANSLATE
帮我把这份英文技术规范翻译成中文,TRANSLATE
这句话翻译成越南语怎么说,TRANSLATE
帮我把这段中文客服回复翻译成英文,TRANSLATE
这份英文报告摘要帮我翻译一下,TRANSLATE
帮我把这句话的英文翻译核对一下准不准确,TRANSLATE
这段阿拉伯语帮我翻译成中文,TRANSLATE
帮我把这份中文宣传册翻译成英文版,TRANSLATE
这个怎么搞,UNKNOWN
帮我处理一下,UNKNOWN
麻烦看看,UNKNOWN
这个能优化吗,UNKNOWN
这样行吗,UNKNOWN
帮我弄一下这个,UNKNOWN
这个有问题吗,UNKNOWN
能不能再看看,UNKNOWN
这个要怎么弄,UNKNOWN
帮我处理下这个事情,UNKNOWN
这个能改一下吗,UNKNOWN
帮我看一下这个情况,UNKNOWN
这个可以吗,UNKNOWN
帮我搞定这个,UNKNOWN
这个该怎么办,UNKNOWN
帮我弄好它,UNKNOWN
这个能不能弄一下,UNKNOWN
帮我看看这边,UNKNOWN
这个需要处理吗,UNKNOWN
帮我搞一下,UNKNOWN
帮我查一下现在外面温度多少度,SEARCH
今天有没有重要的财经新闻,SEARCH
帮我查下附近哪里有打印店,SEARCH
现在这附近堵不堵车,SEARCH
帮我查一下最近有没有适合应届生的招聘活动,SEARCH
今天有没有什么值得关注的行业动态,SEARCH
帮我看看现在这个时间段适不适合出门,SEARCH
最近这个城市的房价走势怎么样,SEARCH
帮我查一下今天的汇率是多少,SEARCH
现在这附近的快递站还开着吗,SEARCH
帮我查一下昨晚的比赛结果出来了吗,SEARCH
这周末附近有没有什么集市活动,SEARCH
帮我查一下今天系统的接口调用量,SEARCH
看看现在线上环境的服务状态正不正常,SEARCH
帮我查一下这个月的预算执行情况,SEARCH
推荐一部好看的纪录片,CHAT
有什么提升专注力的小技巧,CHAT
怎么才能更好地管理时间,CHAT
最近总是没有食欲该怎么办,CHAT
怎么跟父母沟通更顺畅一些,CHAT
有什么放松心情的小方法,CHAT
怎么提高自己的沟通表达能力,CHAT
推荐一些适合新手的瑜伽动作,CHAT
怎么培养孩子的阅读习惯,CHAT
有什么缓解焦虑情绪的办法,CHAT
怎么才能养成早睡早起的习惯,CHAT
推荐几个适合自学的兴趣爱好,CHAT
怎么处理跟朋友之间的小矛盾,CHAT
有什么提高记忆力的小窍门,CHAT
用React还是Vue3做这个新项目比较合适,TECH_COMPARE
单元测试用JUnit5还是TestNG更好,TECH_COMPARE
日志框架用Logback还是Log4j2,TECH_COMPARE
消息中间件选RabbitMQ还是RocketMQ,TECH_COMPARE
分布式锁用Redis实现还是Zookeeper实现,TECH_COMPARE
前端状态管理用Redux还是Zustand,TECH_COMPARE
部署用Kubernetes还是直接上ECS,TECH_COMPARE
接口文档用Swagger还是Postman管理更方便,TECH_COMPARE
用Webpack还是Vite打包构建速度差距大吗,TECH_COMPARE
缓存淘汰策略用LRU还是LFU更适合这个场景,TECH_COMPARE
